t=2023-02-13T08:37:04+0700 lvl=info msg="no configuration paths supplied"
t=2023-02-13T08:37:04+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\Damar\\AppData\\Local/ngrok/ngrok.yml
t=2023-02-13T08:37:04+0700 lvl=info msg="open config file" path=C:\\Users\\Damar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2023-02-13T08:37:04+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-02-13T08:37:05+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-02-13T08:37:05+0700 lvl=info msg="client session established" obj=csess id=32213dae8610
t=2023-02-13T08:37:05+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8088 url=https://6333-36-68-53-12.ap.ngrok.io
t=2023-02-13T08:37:08+0700 lvl=info msg="join connections" obj=join id=1cea794f519d l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:08+0700 lvl=info msg="join connections" obj=join id=97b2db18ba35 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:08+0700 lvl=info msg="join connections" obj=join id=97287691688e l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:08+0700 lvl=info msg="join connections" obj=join id=e56bd03ce6d7 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:14+0700 lvl=info msg="join connections" obj=join id=e96d5e1fdf95 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:14+0700 lvl=info msg="join connections" obj=join id=c1bd9f31d115 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:19+0700 lvl=info msg="join connections" obj=join id=6867f1152423 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:19+0700 lvl=info msg="join connections" obj=join id=b11331fb75ec l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:25+0700 lvl=info msg="join connections" obj=join id=9c27655056fc l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:25+0700 lvl=info msg="join connections" obj=join id=1071a87fba96 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:30+0700 lvl=info msg="join connections" obj=join id=36f45b651547 l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:30+0700 lvl=info msg="join connections" obj=join id=adc2ee3f3e1f l=[::1]:8088 r=36.68.53.12:12501
t=2023-02-13T08:37:37+0700 lvl=info msg="join connections" obj=join id=4201c60fc902 l=[::1]:8088 r=36.68.53.12:12501
